"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
2.153671750E0	-1.346171975E0	-6.059201956E-1	1.406204849E-1	1.482933711E0
2.163628750E0	-1.048525095E0	-9.317534566E-1	1.383938491E-1	1.409511347E0
2.173584750E0	-7.505557537E-1	-1.257650852E0	1.998194009E-1	1.478156757E0
2.183541750E0	-5.293285847E-1	-1.533682108E0	2.862516344E-1	1.647516178E0
2.193497750E0	-3.697829247E-1	-1.706895947E0	3.495650887E-1	1.781131365E0
2.203454750E0	-2.735011578E-1	-1.759064555E0	3.622852266E-1	1.816689731E0
2.213410750E0	-2.536542118E-1	-1.739000559E0	3.461230397E-1	1.791162908E0
2.223367750E0	-2.918570340E-1	-1.682393432E0	3.328326344E-1	1.739656791E0
2.233323750E0	-3.794643879E-1	-1.597320080E0	3.519266844E-1	1.679070293E0
2.243280750E0	-4.947413206E-1	-1.449333072E0	3.585353494E-1	1.572858202E0
2.253236750E0	-5.611461401E-1	-1.203691125E0	3.704580665E-1	1.378766294E0
2.263193750E0	-6.522619128E-1	-9.790156484E-1	3.829793036E-1	1.237170316E0
2.273149750E0	-7.177740335E-1	-7.294801474E-1	4.117483795E-1	1.103121742E0
2.283106750E0	-7.299031019E-1	-4.456223547E-1	4.433766603E-1	9.632863978E-1
2.293062750E0	-6.882688403E-1	-1.712038368E-1	5.160197020E-1	8.770981035E-1
2.303019750E0	-6.278968453E-1	2.347845212E-2	5.921549201E-1	8.633962795E-1
2.312975750E0	-5.274895430E-1	1.808422506E-1	6.502088904E-1	8.565750047E-1
2.322932750E0	-4.159639180E-1	3.542946279E-1	7.092673182E-1	8.953271989E-1
2.332888750E0	-2.682746053E-1	5.493900776E-1	7.526057363E-1	9.696474181E-1
2.342845750E0	-1.087548435E-1	7.265585065E-1	7.636322975E-1	1.059645773E0
2.352801750E0	6.227842346E-2	8.817462325E-1	7.499426007E-1	1.159210475E0
2.362758750E0	2.366445512E-1	9.935998321E-1	7.304335833E-1	1.255696814E0
2.372714750E0	3.875677586E-1	1.060841680E0	7.170410752E-1	1.337812296E0
2.382671750E0	5.172561407E-1	1.077155352E0	7.146575451E-1	1.392319279E0
2.392627125E0	6.275639534E-1	1.006484985E0	7.237477303E-1	1.389481673E0
2.402584125E0	7.203375697E-1	9.110558033E-1	7.557549477E-1	1.385667504E0
2.412540125E0	7.791013122E-1	7.975862622E-1	8.516873717E-1	1.403037448E0
2.422497125E0	8.102002740E-1	7.053507566E-1	9.491418600E-1	1.433462397E0
2.432453125E0	8.094609976E-1	5.924764276E-1	1.018336415E0	1.429428025E0
2.442410125E0	8.032504916E-1	5.055508018E-1	1.073100686E0	1.432598355E0
2.452366125E0	8.034153581E-1	4.592829347E-1	1.128874779E0	1.459717547E0
