"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
1.323155167E0	-5.351559445E-2	-5.951387063E-2	2.495864965E-2	8.383766361E-2
1.333111167E0	-4.198410735E-2	-4.609260336E-2	2.635441162E-2	6.768861326E-2
1.343067167E0	-2.329548262E-2	-1.872981153E-2	3.150413185E-2	4.342805170E-2
1.353022167E0	1.227585599E-4	2.175955847E-2	3.739744052E-2	4.326733193E-2
1.362978167E0	1.588350907E-2	4.432630539E-2	4.105761647E-2	6.247267467E-2
1.372934167E0	3.137431666E-2	3.268935904E-2	4.464702681E-2	6.361052541E-2
1.382889167E0	4.083459079E-2	1.089171786E-2	4.965502396E-2	6.520517409E-2
1.392845167E0	3.409439325E-2	3.204504028E-3	6.038649753E-2	6.942064233E-2
1.402800167E0	2.142149396E-2	1.302475110E-2	6.808876991E-2	7.255759873E-2
1.412756167E0	1.087138057E-2	2.155272476E-2	6.156855077E-2	6.613163618E-2
1.422712167E0	5.919908639E-3	1.698679291E-2	5.789591745E-2	6.062618006E-2
1.432667167E0	5.228552502E-3	7.764266338E-3	6.104856730E-2	6.176203657E-2
1.442623167E0	-7.643033285E-3	1.252230350E-2	6.132172421E-2	6.305218396E-2
1.452579167E0	-1.654385030E-2	1.526908670E-2	6.097498164E-2	6.499840288E-2
1.462534167E0	-2.159623615E-2	8.199632168E-3	6.055048108E-2	6.480734636E-2
1.472490167E0	-2.889729291E-2	5.007833708E-3	6.615483761E-2	7.236431769E-2
1.482445167E0	-3.891411051E-2	3.481391817E-2	7.239852846E-2	8.926289161E-2
1.492401167E0	-4.886421189E-2	5.704012513E-2	6.744371355E-2	1.009452405E-1
1.502357167E0	-6.312758476E-2	4.340200126E-2	6.359468400E-2	9.956459965E-2
1.512312167E0	-7.098710537E-2	5.163803697E-3	6.839956343E-2	9.871339461E-2
1.522268167E0	-7.814357430E-2	-3.559950739E-2	7.139091939E-2	1.116709743E-1
1.532224167E0	-6.758814305E-2	-6.371316314E-2	7.115495950E-2	1.170066344E-1
1.542179167E0	-4.724394158E-2	-7.572802156E-2	7.582513243E-2	1.171160705E-1
1.552135167E0	-3.132303432E-2	-8.202719688E-2	7.595216483E-2	1.160961879E-1
1.562091167E0	-2.239102870E-2	-5.817840621E-2	7.469978184E-2	9.729410322E-2
1.572046167E0	-1.410646643E-2	-1.126043312E-2	7.335302234E-2	7.554108574E-2
1.582002167E0	-6.094093900E-3	2.799766324E-2	6.865160167E-2	7.439119262E-2
1.591957167E0	-6.215642206E-4	5.177836120E-2	6.645422429E-2	8.424695221E-2
1.601913167E0	-7.749693468E-3	6.199796125E-2	6.231898442E-2	8.824659068E-2
1.611869167E0	-9.763576090E-3	5.378051475E-2	5.480008572E-2	7.739974535E-2
1.621824167E0	-1.302912831E-2	3.356003389E-2	4.841316864E-2	6.033132650E-2
1.631780167E0	-1.436150819E-2	2.177927457E-2	4.301547259E-2	5.030825579E-2
1.641736167E0	-8.473850787E-3	3.164885193E-2	3.993452713E-2	5.165483939E-2
1.651691167E0	8.056676015E-4	2.221673541E-2	3.371098638E-2	4.038146895E-2
1.661647167E0	1.436495967E-2	-1.933192834E-4	3.153054789E-2	3.464916866E-2
1.671603167E0	2.580962703E-2	-1.268327795E-2	3.029137664E-2	4.176804862E-2
1.681558167E0	2.271222323E-2	-1.584080607E-2	3.373551741E-2	4.364471739E-2
1.691514167E0	5.643489771E-3	-1.111689024E-2	2.758388035E-2	3.027052495E-2
1.701470167E0	-1.031764597E-2	-2.225059271E-2	1.996762678E-2	3.162671044E-2
1.711425167E0	-2.807720006E-2	-4.134412482E-2	1.502639800E-2	5.218676515E-2
1.721381167E0	-4.327621683E-2	-4.008711129E-2	2.094675601E-2	6.259851454E-2
1.731336167E0	-5.940138921E-2	-1.180114411E-2	2.625070885E-2	6.600675539E-2
1.741292167E0	-7.270765305E-2	-1.152507961E-3	3.036691062E-2	7.880279403E-2
1.751248167E0	-7.790534198E-2	-2.831364749E-3	3.138264269E-2	8.403647540E-2
1.761203167E0	-7.363072038E-2	-7.320734672E-3	3.423652798E-2	8.153046049E-2
1.771159167E0	-7.108020782E-2	-5.945744459E-3	3.911916912E-2	8.135144260E-2
1.781115167E0	-7.468587905E-2	-2.976936987E-3	3.294573724E-2	8.168392918E-2
1.791070167E0	-8.451987058E-2	-1.336140092E-2	2.702446468E-2	8.973548489E-2
1.801026167E0	-9.053228050E-2	-2.793644369E-2	2.817680314E-2	9.884569254E-2
1.810982167E0	-8.621263504E-2	-2.119891159E-2	3.118617460E-2	9.409882985E-2
1.820937167E0	-7.139834017E-2	4.763534758E-3	2.532234415E-2	7.590543693E-2
1.830893167E0	-5.268830433E-2	1.336048543E-2	2.361499146E-2	5.926405155E-2
1.840849167E0	-3.951784968E-2	1.011709124E-2	2.446774952E-2	4.756770696E-2
1.850804167E0	-3.124207444E-2	5.554297939E-3	2.203415334E-2	3.863186968E-2
1.860760167E0	-2.866306901E-2	-2.226660028E-3	1.225209795E-2	3.125129508E-2
1.870715167E0	-4.029548913E-2	1.080977917E-2	9.513036348E-3	4.279106952E-2
1.880671167E0	-5.047410727E-2	3.046064824E-2	6.508157123E-3	5.931140451E-2
1.890627167E0	-5.290424079E-2	4.720873386E-2	5.792299286E-3	7.114122558E-2
1.900582167E0	-5.298347771E-2	5.057069659E-2	1.230276097E-2	7.426979327E-2
1.910538167E0	-4.996318370E-2	3.916145116E-2	1.092990208E-2	6.441585008E-2
1.920494167E0	-4.528989270E-2	1.878596656E-2	1.089977846E-2	5.022839925E-2
1.930449167E0	-3.414429724E-2	-1.479250006E-2	1.306492835E-2	3.943784281E-2
1.940405167E0	-1.834278554E-2	-4.836936295E-2	8.250884712E-3	5.238444571E-2
1.950361167E0	-8.817457594E-3	-8.646801859E-2	1.883266494E-3	8.693683046E-2
1.960316167E0	-6.457399577E-4	-1.033040732E-1	-3.788841888E-3	1.033755476E-1
1.970268167E0	9.203428403E-3	-1.014308035E-1	-1.085074618E-2	1.024238727E-1
1.980224167E0	1.259617694E-2	-8.253878355E-2	-1.331198867E-2	8.454894148E-2
1.990179167E0	1.265157014E-2	-4.870891571E-2	-2.092330344E-2	5.450142497E-2
2.000135167E0	9.145014919E-3	-9.546158835E-3	-2.414003387E-2	2.752274844E-2
2.010090167E0	9.090418927E-3	2.466081455E-2	-2.463857643E-2	3.602569832E-2
2.020046167E0	3.570999950E-3	6.142272428E-2	-2.907296084E-2	6.804954188E-2
2.030002167E0	-6.258993410E-3	8.931827545E-2	-3.484030068E-2	9.607692688E-2
2.039957167E0	-1.696322858E-2	9.472279996E-2	-3.290988132E-2	1.017016236E-1
2.049913167E0	-2.194094285E-2	1.020172015E-1	-2.339600772E-2	1.069405795E-1
2.059869167E0	-2.305733413E-2	1.041632369E-1	-2.316708863E-2	1.091711252E-1
2.069824167E0	-2.274787612E-2	1.190745458E-1	-2.468881942E-2	1.237164142E-1
2.079780167E0	-2.256768569E-2	1.110947728E-1	-2.614065632E-2	1.163386561E-1
2.089736167E0	-2.027896419E-2	7.591920346E-2	-2.641895600E-2	8.290309451E-2
